,freesound_id,license,name,path,tags,username
0,75229,http://creativecommons.org/publicdomain/zero/1.0/,BASS 0102.wav,files/75229_377011-hq.ogg,['bass'],zgump
1,83251,http://creativecommons.org/publicdomain/zero/1.0/,BASS 0207.wav,files/83251_377011-hq.ogg,['bass'],zgump
2,21585,http://creativecommons.org/licenses/by-nc/3.0/,sub bass stab 1.wav,files/21585_45941-hq.ogg,"['bass', 'noise', 'stab', 'sub', 'synth']",djgriffin
3,288878,http://creativecommons.org/licenses/by/3.0/,ElectroBass4.wav,files/288878_1471115-hq.ogg,"['hollow', 'short', 'electronic', 'bass', 'round']",gellski
4,4445,http://creativecommons.org/licenses/by/3.0/,BASS01.aif,files/4445_4948-hq.ogg,"['bass', 'free', 'multisample', 'sample', 'sound', 'synth']",NoiseCollector
5,144150,http://creativecommons.org/publicdomain/zero/1.0/,DK´s Hardcore Bass 02.wav,files/144150_1779635-hq.ogg,"['Hardcore', 'hard', 'bass', 'Kick']",e30029
6,25594,http://creativecommons.org/publicdomain/zero/1.0/,Love To Bass It.aif,files/25594_48671-hq.ogg,"['analogue', 'bass', 'fat', 'phat', 'square', 'sub', 'synth']",Walter_Odington
7,115525,http://creativecommons.org/licenses/by/3.0/,Bass Stab 11.wav,files/115525_2005415-hq.ogg,"['bass', 'dnb', 'dubstep', 'hit', 'stab', 'sub', 'wobble']",Ongitak
8,331261,http://creativecommons.org/publicdomain/zero/1.0/,modular hits#09.41.aif,files/331261_2050105-hq.ogg,"['modular', 'bass', 'synth', 'fm']",modularsamples
9,13893,http://creativecommons.org/publicdomain/zero/1.0/,41.wav,files/13893_33634-hq.ogg,"['bass', 'big', 'boom', 'kick', 'low', 'metal', 'object', 'thump']",adcbicycle
10,18086,http://creativecommons.org/publicdomain/zero/1.0/,11_SB_Bass_Hit_C.wav,files/18086_69312-hq.ogg,"['analog', 'bass', 'synthetic', 'virtual-analog']",DaveN
11,83549,http://creativecommons.org/publicdomain/zero/1.0/,Sub Mania 05.wav,files/83549_377011-hq.ogg,"['bass', 'sub', 'subbass']",zgump
12,328881,http://creativecommons.org/publicdomain/zero/1.0/,MS - Neuro 004.wav,files/328881_2404780-hq.ogg,"['dubstep', 'bassline', 'neuro', 'bass', 'dnb']",Ahseyo
13,206134,http://creativecommons.org/publicdomain/zero/1.0/,DnB Bass 01.wav,files/206134_3863330-hq.ogg,"['Dubstep', 'Exsomniel', 'Bass', 'Reece', 'DnB']",Exsomniel
14,368609,http://creativecommons.org/publicdomain/zero/1.0/,Big bass,files/368609_5487341-hq.ogg,"['low', 'kick', 'bass', 'thump']",SamsterBirdies
